year_film,year_ceremony,ceremony,category,name,film,win,total_noms,total_wins,imdb_id
2005,2006,78,Best Picture,"Paul Haggis and Cathy Schulman, Producers",Crash,1,,,
2005,2006,78,Best Actor,David Strathairn,"Good Night, and Good Luck.",0,,,
2005,2006,78,Best Director,George Clooney,"Good Night, and Good Luck.",0,,,
2005,2006,78,Best Picture,"Grant Heslov, Producer","Good Night, and Good Luck.",0,,,
2005,2006,78,Best Actor,Terrence Howard,Hustle & Flow,0,,,
2005,2006,78,Best Actress,Judi Dench,Mrs. Henderson Presents,0,,,
2005,2006,78,Best Director,Steven Spielberg,Munich,0,,,
2005,2006,78,Best Picture,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers",Munich,0,,,
2005,2006,78,Best Actress,Charlize Theron,North Country,0,,,
2005,2006,78,Best Actress,Keira Knightley,Pride & Prejudice,0,,,
2005,2006,78,Best Actress,Felicity Huffman,Transamerica,0,,,
2005,2006,78,Best Actor,Joaquin Phoenix,Walk the Line,0,,,
2005,2006,78,Best Actress,Reese Witherspoon,Walk the Line,1,,,
2006,2007,79,Best Director,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Babel,0,,,
2006,2007,79,Best Picture,"Alejandro GonzÃ¡lez IÃ±Ã¡rritu, Jon Kilik and Steve Golin, Producers",Babel,0,,,
2006,2007,79,Best Actor,Leonardo DiCaprio,Blood Diamond,0,,,
2006,2007,79,Best Actor,Ryan Gosling,Half Nelson,0,,,
2006,2007,79,Best Director,Clint Eastwood,Letters from Iwo Jima,0,,,
2006,2007,79,Best Picture,"Clint Eastwood, Steven Spielberg and Robert Lorenz, Producers",Letters from Iwo Jima,0,,,
2006,2007,79,Best Actress,Kate Winslet,Little Children,0,,,
2006,2007,79,Best Picture,"David T. Friendly, Peter Saraf and Marc Turtletaub, Producers",Little Miss Sunshine,0,,,
2006,2007,79,Best Actress,Judi Dench,Notes on a Scandal,0,,,
2006,2007,79,Best Director,Martin Scorsese,The Departed,1,,,
2006,2007,79,Best Picture,"Graham King, Producer",The Departed,1,,,
2006,2007,79,Best Actress,Meryl Streep,The Devil Wears Prada,0,,,
2006,2007,79,Best Actor,Forest Whitaker,The Last King of Scotland,1,,,
2006,2007,79,Best Actor,Will Smith,The Pursuit of Happyness,0,,,
2006,2007,79,Best Actress,Helen Mirren,The Queen,1,,,
2006,2007,79,Best Director,Stephen Frears,The Queen,0,,,
2006,2007,79,Best Picture,"Andy Harries, Christine Langan and Tracey Seaward, Producers",The Queen,0,,,
2006,2007,79,Best Director,Paul Greengrass,United 93,0,,,
2006,2007,79,Best Actor,Peter O'Toole,Venus,0,,,
2006,2007,79,Best Actress,PenÃ©lope Cruz,Volver,0,,,
2007,2008,80,Best Picture,"Tim Bevan, Eric Fellner and Paul Webster, Producers",Atonement,0,,,
2007,2008,80,Best Actress,Julie Christie,Away from Her,0,,,
2007,2008,80,Best Actor,Viggo Mortensen,Eastern Promises,0,,,
2007,2008,80,Best Actress,Cate Blanchett,Elizabeth: The Golden Age,0,,,
2007,2008,80,Best Actor,Tommy Lee Jones,In the Valley of Elah,0,,,
2007,2008,80,Best Actress,Ellen Page,Juno,0,,,
2007,2008,80,Best Director,Jason Reitman,Juno,0,,,
2007,2008,80,Best Picture,"Lianne Halfon, Mason Novick and Russell Smith, Producers",Juno,0,,,
2007,2008,80,Best Actress,Marion Cotillard,La Vie en Rose,1,,,
2007,2008,80,Best Actor,George Clooney,Michael Clayton,0,,,
2007,2008,80,Best Director,Tony Gilroy,Michael Clayton,0,,,
2007,2008,80,Best Picture,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers",Michael Clayton,0,,,
2007,2008,80,Best Director,Joel Coen and Ethan Coen,No Country for Old Men,1,,,
2007,2008,80,Best Picture,"Scott Rudin, Ethan Coen and Joel Coen, Producers",No Country for Old Men,1,,,
2007,2008,80,Best Actor,Johnny Depp,Sweeney Todd The Demon Barber of Fleet Street,0,,,
2007,2008,80,Best Director,Julian Schnabel,The Diving Bell and the Butterfly,0,,,
2007,2008,80,Best Actress,Laura Linney,The Savages,0,,,
2007,2008,80,Best Actor,Daniel Day-Lewis,There Will Be Blood,1,,,
2007,2008,80,Best Director,Paul Thomas Anderson,There Will Be Blood,0,,,
2007,2008,80,Best Picture,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers",There Will Be Blood,0,,,
2008,2009,81,Best Actress,Angelina Jolie,Changeling,0,,,
2008,2009,81,Best Actress,Meryl Streep,Doubt,0,,,
2008,2009,81,Best Actor,Frank Langella,Frost/Nixon,0,,,
2008,2009,81,Best Director,Ron Howard,Frost/Nixon,0,,,
2008,2009,81,Best Picture,"Brian Grazer, Ron Howard and Eric Fellner, Producers",Frost/Nixon,0,,,
2008,2009,81,Best Actress,Melissa Leo,Frozen River,0,,,
2008,2009,81,Best Actor,Sean Penn,Milk,1,,,
2008,2009,81,Best Director,Gus Van Sant,Milk,0,,,
2008,2009,81,Best Picture,"Dan Jinks and Bruce Cohen, Producers",Milk,0,,,
2008,2009,81,Best Actress,Anne Hathaway,Rachel Getting Married,0,,,
2008,2009,81,Best Director,Danny Boyle,Slumdog Millionaire,1,,,
2008,2009,81,Best Picture,"Christian Colson, Producer",Slumdog Millionaire,1,,,
2008,2009,81,Best Actor,Brad Pitt,The Curious Case of Benjamin Button,0,,,
2008,2009,81,Best Director,David Fincher,The Curious Case of Benjamin Button,0,,,
2008,2009,81,Best Picture,"Kathleen Kennedy, Frank Marshall and CeÃ¡n Chaffin, Producers",The Curious Case of Benjamin Button,0,,,
2008,2009,81,Best Actress,Kate Winslet,The Reader,1,,,
2008,2009,81,Best Director,Stephen Daldry,The Reader,0,,,
2008,2009,81,Best Picture,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers",The Reader,0,,,
2008,2009,81,Best Actor,Richard Jenkins,The Visitor,0,,,
2008,2009,81,Best Actor,Mickey Rourke,The Wrestler,0,,,
2009,2010,82,Best Picture,"Joel Coen and Ethan Coen, Producers",A Serious Man,0,,,
2009,2010,82,Best Actor,Colin Firth,A Single Man,0,,,
2009,2010,82,Best Actress,Carey Mulligan,An Education,0,,,
2009,2010,82,Best Picture,"Finola Dwyer and Amanda Posey, Producers",An Education,0,,,
2009,2010,82,Best Director,James Cameron,Avatar,0,,,
2009,2010,82,Best Picture,"James Cameron and Jon Landau, Producers",Avatar,0,,,
2009,2010,82,Best Actor,Jeff Bridges,Crazy Heart,1,,,
2009,2010,82,Best Picture,"Peter Jackson and Carolynne Cunningham, Producers",District 9,0,,,
2009,2010,82,Best Director,Quentin Tarantino,Inglourious Basterds,0,,,
2009,2010,82,Best Picture,"Lawrence Bender, Producer",Inglourious Basterds,0,,,
2009,2010,82,Best Actor,Morgan Freeman,Invictus,0,,,
2009,2010,82,Best Actress,Meryl Streep,Julie & Julia,0,,,
2009,2010,82,Best Actress,Gabourey Sidibe,Precious: Based on the Novel 'Push' by Sapphire,0,,,
2009,2010,82,Best Director,Lee Daniels,Precious: Based on the Novel 'Push' by Sapphire,0,,,
2009,2010,82,Best Picture,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers",Precious: Based on the Novel 'Push' by Sapphire,0,,,
2009,2010,82,Best Actress,Sandra Bullock,The Blind Side,1,,,
2009,2010,82,Best Picture,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers",The Blind Side,0,,,
2009,2010,82,Best Actor,Jeremy Renner,The Hurt Locker,0,,,
2009,2010,82,Best Director,Kathryn Bigelow,The Hurt Locker,1,,,
2009,2010,82,Best Picture,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers",The Hurt Locker,1,,,
2009,2010,82,Best Actress,Helen Mirren,The Last Station,0,,,
2009,2010,82,Best Picture,"Jonas Rivera, Producer",Up,0,,,
2009,2010,82,Best Actor,George Clooney,Up in the Air,0,,,
2009,2010,82,Best Director,Jason Reitman,Up in the Air,0,,,
2009,2010,82,Best Picture,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers",Up in the Air,0,,,
2010,2011,83,Best Actor,James Franco,127 Hours,0,,,
2010,2011,83,Best Picture,"Christian Colson, Danny Boyle and John Smithson, Producers",127 Hours,0,,,
2010,2011,83,Best Actor,Javier Bardem,Biutiful,0,,,
2010,2011,83,Best Actress,Natalie Portman,Black Swan,1,,,
2010,2011,83,Best Director,Darren Aronofsky,Black Swan,0,,,
2010,2011,83,Best Picture,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers",Black Swan,0,,,
2010,2011,83,Best Actress,Michelle Williams,Blue Valentine,0,,,
2010,2011,83,Best Picture,"Emma Thomas and Christopher Nolan, Producers",Inception,0,,,
2010,2011,83,Best Actress,Nicole Kidman,Rabbit Hole,0,,,
2010,2011,83,Best Director,David O. Russell,The Fighter,0,,,
2010,2011,83,Best Picture,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers",The Fighter,0,,,
2010,2011,83,Best Actress,Annette Bening,The Kids Are All Right,0,,,
2010,2011,83,Best Picture,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers",The Kids Are All Right,0,,,
2010,2011,83,Best Actor,Colin Firth,The King's Speech,1,,,
2010,2011,83,Best Director,Tom Hooper,The King's Speech,1,,,
2010,2011,83,Best Picture,"Iain Canning, Emile Sherman and Gareth Unwin, Producers",The King's Speech,1,,,
2010,2011,83,Best Actor,Jesse Eisenberg,The Social Network,0,,,
2010,2011,83,Best Director,David Fincher,The Social Network,0,,,
2010,2011,83,Best Picture,"Scott Rudin, Dana Brunetti, Michael De Luca and CeÃ¡n Chaffin, Producers",The Social Network,0,,,
2010,2011,83,Best Picture,"Darla K. Anderson, Producer",Toy Story 3,0,,,
2010,2011,83,Best Actor,Jeff Bridges,True Grit,0,,,
2010,2011,83,Best Director,Joel Coen and Ethan Coen,True Grit,0,,,
2010,2011,83,Best Picture,"Scott Rudin, Ethan Coen and Joel Coen, Producers",True Grit,0,,,
2010,2011,83,Best Actress,Jennifer Lawrence,Winter's Bone,0,,,
2010,2011,83,Best Picture,"Anne Rosellini and Alix Madigan-Yorkin, Producers",Winter's Bone,0,,,
2011,2012,84,Best Actor,DemiÃ¡n Bichir,A Better Life,0,,,
2011,2012,84,Best Actress,Glenn Close,Albert Nobbs,0,,,
2011,2012,84,Best Picture,"Scott Rudin, Producer",Extremely Loud & Incredibly Close,0,,,
2011,2012,84,Best Director,Martin Scorsese,Hugo,0,,,
2011,2012,84,Best Picture,"Graham King and Martin Scorsese, Producers",Hugo,0,,,
2011,2012,84,Best Director,Woody Allen,Midnight in Paris,0,,,
2011,2012,84,Best Picture,"Letty Aronson and Stephen Tenenbaum, Producers",Midnight in Paris,0,,,
2011,2012,84,Best Actor,Brad Pitt,Moneyball,0,,,
2011,2012,84,Best Picture,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers",Moneyball,0,,,
2011,2012,84,Best Actress,Michelle Williams,My Week with Marilyn,0,,,
2011,2012,84,Best Actor,Jean Dujardin,The Artist,1,,,
2011,2012,84,Best Director,Michel Hazanavicius,The Artist,1,,,
2011,2012,84,Best Picture,"Thomas Langmann, Producer",The Artist,1,,,
2011,2012,84,Best Actor,George Clooney,The Descendants,0,,,
2011,2012,84,Best Director,Alexander Payne,The Descendants,0,,,
2011,2012,84,Best Picture,"Jim Burke, Alexander Payne and Jim Taylor, Producers",The Descendants,0,,,
2011,2012,84,Best Actress,Rooney Mara,The Girl with the Dragon Tattoo,0,,,
2011,2012,84,Best Actress,Viola Davis,The Help,0,,,
2011,2012,84,Best Picture,"Brunson Green, Chris Columbus and Michael Barnathan, Producers",The Help,0,,,
2011,2012,84,Best Actress,Meryl Streep,The Iron Lady,1,,,
2011,2012,84,Best Director,Terrence Malick,The Tree of Life,0,,,
2011,2012,84,Best Picture,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers",The Tree of Life,0,,,
2011,2012,84,Best Actor,Gary Oldman,Tinker Tailor Soldier Spy,0,,,
2011,2012,84,Best Picture,"Steven Spielberg and Kathleen Kennedy, Producers",War Horse,0,,,
2012,2013,85,Best Actress,Emmanuelle Riva,Amour,0,,,
2012,2013,85,Best Director,Michael Haneke,Amour,0,,,
2012,2013,85,Best Picture,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers",Amour,0,,,
2012,2013,85,Best Picture,"Grant Heslov, Ben Affleck and George Clooney, Producers",Argo,1,,,
2012,2013,85,Best Actress,QuvenzhanÃ© Wallis,Beasts of the Southern Wild,0,,,
2012,2013,85,Best Director,Benh Zeitlin,Beasts of the Southern Wild,0,,,
2012,2013,85,Best Picture,"Dan Janvey, Josh Penn and Michael Gottwald, Producers",Beasts of the Southern Wild,0,,,
2012,2013,85,Best Picture,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers",Django Unchained,0,,,
2012,2013,85,Best Actor,Denzel Washington,Flight,0,,,
2012,2013,85,Best Actor,Hugh Jackman,Les MisÃ©rables,0,,,
2012,2013,85,Best Picture,"Tim Bevan, Eric Fellner, Debra Hayward and Cameron Mackintosh, Producers",Les MisÃ©rables,0,,,
2012,2013,85,Best Director,Ang Lee,Life of Pi,1,,,
2012,2013,85,Best Picture,"Gil Netter, Ang Lee and David Womark, Producers",Life of Pi,0,,,
2012,2013,85,Best Actor,Daniel Day-Lewis,Lincoln,1,,,
2012,2013,85,Best Director,Steven Spielberg,Lincoln,0,,,
2012,2013,85,Best Picture,"Steven Spielberg and Kathleen Kennedy, Producers",Lincoln,0,,,
2012,2013,85,Best Actor,Bradley Cooper,Silver Linings Playbook,0,,,
2012,2013,85,Best Actress,Jennifer Lawrence,Silver Linings Playbook,1,,,
2012,2013,85,Best Director,David O. Russell,Silver Linings Playbook,0,,,
2012,2013,85,Best Picture,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers",Silver Linings Playbook,0,,,
2012,2013,85,Best Actress,Naomi Watts,The Impossible,0,,,
2012,2013,85,Best Actor,Joaquin Phoenix,The Master,0,,,
2012,2013,85,Best Actress,Jessica Chastain,Zero Dark Thirty,0,,,
2012,2013,85,Best Picture,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers",Zero Dark Thirty,0,,,
2013,2014,86,Best Actor,Chiwetel Ejiofor,12 Years a Slave,0,,,
2013,2014,86,Best Director,Steve McQueen,12 Years a Slave,0,,,
2013,2014,86,Best Picture,"Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen and Anthony Katagas, Producers",12 Years a Slave,1,,,
2013,2014,86,Best Actor,Christian Bale,American Hustle,0,,,
2013,2014,86,Best Actress,Amy Adams,American Hustle,0,,,
2013,2014,86,Best Director,David O. Russell,American Hustle,0,,,
2013,2014,86,Best Picture,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers",American Hustle,0,,,
2013,2014,86,Best Actress,Meryl Streep,August: Osage County,0,,,
2013,2014,86,Best Actress,Cate Blanchett,Blue Jasmine,1,,,
2013,2014,86,Best Picture,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers",Captain Phillips,0,,,
2013,2014,86,Best Actor,Matthew McConaughey,Dallas Buyers Club,1,,,
2013,2014,86,Best Picture,"Robbie Brenner and Rachel Winter, Producers",Dallas Buyers Club,0,,,
2013,2014,86,Best Actress,Sandra Bullock,Gravity,0,,,
2013,2014,86,Best Director,Alfonso CuarÃ³n,Gravity,1,,,
2013,2014,86,Best Picture,"Alfonso CuarÃ³n and David Heyman, Producers",Gravity,0,,,
2013,2014,86,Best Picture,"Megan Ellison, Spike Jonze and Vincent Landay, Producers",Her,0,,,
2013,2014,86,Best Actor,Bruce Dern,Nebraska,0,,,
2013,2014,86,Best Director,Alexander Payne,Nebraska,0,,,
2013,2014,86,Best Picture,"Albert Berger and Ron Yerxa, Producers",Nebraska,0,,,
2013,2014,86,Best Actress,Judi Dench,Philomena,0,,,
2013,2014,86,Best Picture,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers",Philomena,0,,,
2013,2014,86,Best Actor,Leonardo DiCaprio,The Wolf of Wall Street,0,,,
2013,2014,86,Best Director,Martin Scorsese,The Wolf of Wall Street,0,,,
2013,2014,86,Best Picture,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers",The Wolf of Wall Street,0,,,
2014,2015,87,Best Actor,Bradley Cooper,American Sniper,0,,,
2014,2015,87,Best Picture,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers",American Sniper,0,,,
2014,2015,87,Best Actor,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),0,,,
2014,2015,87,Best Director,Alejandro G. IÃ±Ã¡rritu,Birdman or (The Unexpected Virtue of Ignorance),1,,,
2014,2015,87,Best Picture,"Alejandro G. IÃ±Ã¡rritu, John Lesher and James W. Skotchdopole, Producers",Birdman or (The Unexpected Virtue of Ignorance),1,,,
2014,2015,87,Best Director,Richard Linklater,Boyhood,0,,,
2014,2015,87,Best Picture,"Richard Linklater and Cathleen Sutherland, Producers",Boyhood,0,,,
2014,2015,87,Best Actor,Steve Carell,Foxcatcher,0,,,
2014,2015,87,Best Director,Bennett Miller,Foxcatcher,0,,,
2014,2015,87,Best Actress,Rosamund Pike,Gone Girl,0,,,
2014,2015,87,Best Picture,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers",Selma,0,,,
2014,2015,87,Best Actress,Julianne Moore,Still Alice,1,,,
2014,2015,87,Best Director,Wes Anderson,The Grand Budapest Hotel,0,,,
2014,2015,87,Best Picture,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers",The Grand Budapest Hotel,0,,,
2014,2015,87,Best Actor,Benedict Cumberbatch,The Imitation Game,0,,,
2014,2015,87,Best Director,Morten Tyldum,The Imitation Game,0,,,
2014,2015,87,Best Picture,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers",The Imitation Game,0,,,
2014,2015,87,Best Actor,Eddie Redmayne,The Theory of Everything,1,,,
2014,2015,87,Best Actress,Felicity Jones,The Theory of Everything,0,,,
2014,2015,87,Best Picture,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers",The Theory of Everything,0,,,
2014,2015,87,Best Actress,Marion Cotillard,"Two Days, One Night",0,,,
2014,2015,87,Best Picture,"Jason Blum, Helen Estabrook and David Lancaster, Producers",Whiplash,0,,,
2014,2015,87,Best Actress,Reese Witherspoon,Wild,0,,,
2015,2016,88,Best Actress,Charlotte Rampling,45 Years,0,,,
2015,2016,88,Best Picture,"Steven Spielberg, Marc Platt and Kristie Macosko Krieger, Producers",Bridge of Spies,0,,,
2015,2016,88,Best Actress,Saoirse Ronan,Brooklyn,0,,,
2015,2016,88,Best Picture,"Finola Dwyer and Amanda Posey, Producers",Brooklyn,0,,,
2015,2016,88,Best Actress,Cate Blanchett,Carol,0,,,
2015,2016,88,Best Actress,Jennifer Lawrence,Joy,0,,,
2015,2016,88,Best Director,George Miller,Mad Max: Fury Road,0,,,
2015,2016,88,Best Picture,"Doug Mitchell and George Miller, Producers",Mad Max: Fury Road,0,,,
2015,2016,88,Best Actress,Brie Larson,Room,1,,,
2015,2016,88,Best Director,Lenny Abrahamson,Room,0,,,
2015,2016,88,Best Picture,"Ed Guiney, Producer",Room,0,,,
2015,2016,88,Best Director,Tom McCarthy,Spotlight,0,,,
2015,2016,88,Best Picture,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers",Spotlight,1,,,
2015,2016,88,Best Actor,Michael Fassbender,Steve Jobs,0,,,
2015,2016,88,Best Director,Adam McKay,The Big Short,0,,,
2015,2016,88,Best Picture,"Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers",The Big Short,0,,,
2015,2016,88,Best Actor,Eddie Redmayne,The Danish Girl,0,,,
2015,2016,88,Best Actor,Matt Damon,The Martian,0,,,
2015,2016,88,Best Picture,"Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam, Producers",The Martian,0,,,
2015,2016,88,Best Actor,Leonardo DiCaprio,The Revenant,1,,,
2015,2016,88,Best Director,Alejandro G. IÃ±Ã¡rritu,The Revenant,1,,,
2015,2016,88,Best Picture,"Arnon Milchan, Steve Golin, Alejandro G. IÃ±Ã¡rritu, Mary Parent and Keith Redmon, Producers",The Revenant,0,,,
2015,2016,88,Best Actor,Bryan Cranston,Trumbo,0,,,
2016,2017,89,Best Director,Denis Villeneuve,Arrival,0,,,
2016,2017,89,Best Picture,"Shawn Levy, Dan Levine, Aaron Ryder and David Linde, Producers",Arrival,0,,,
2016,2017,89,Best Actor,Viggo Mortensen,Captain Fantastic,0,,,
2016,2017,89,Best Actress,Isabelle Huppert,Elle,0,,,
2016,2017,89,Best Actor,Denzel Washington,Fences,0,,,
2016,2017,89,Best Picture,"Scott Rudin, Denzel Washington and Todd Black, Producers",Fences,0,,,
2016,2017,89,Best Actress,Meryl Streep,Florence Foster Jenkins,0,,,
2016,2017,89,Best Actor,Andrew Garfield,Hacksaw Ridge,0,,,
2016,2017,89,Best Director,Mel Gibson,Hacksaw Ridge,0,,,
2016,2017,89,Best Picture,"Bill Mechanic and David Permut, Producers",Hacksaw Ridge,0,,,
2016,2017,89,Best Picture,"Carla Hacken and Julie Yorn, Producers",Hell or High Water,0,,,
2016,2017,89,Best Picture,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams and Theodore Melfi, Producers",Hidden Figures,0,,,
2016,2017,89,Best Actress,Natalie Portman,Jackie,0,,,
2016,2017,89,Best Actor,Ryan Gosling,La La Land,0,,,
2016,2017,89,Best Actress,Emma Stone,La La Land,1,,,
2016,2017,89,Best Director,Damien Chazelle,La La Land,1,,,
2016,2017,89,Best Picture,"Fred Berger, Jordan Horowitz and Marc Platt, Producers",La La Land,0,,,
2016,2017,89,Best Picture,"Emile Sherman, Iain Canning and Angie Fielder, Producers",Lion,0,,,
2016,2017,89,Best Actress,Ruth Negga,Loving,0,,,
2016,2017,89,Best Actor,Casey Affleck,Manchester by the Sea,1,,,
2016,2017,89,Best Director,Kenneth Lonergan,Manchester by the Sea,0,,,
2016,2017,89,Best Picture,"Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck and Kevin J. Walsh, Producers",Manchester by the Sea,0,,,
2016,2017,89,Best Director,Barry Jenkins,Moonlight,0,,,
2016,2017,89,Best Picture,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers",Moonlight,1,,,
2017,2018,90,Best Actor,TimothÃ©e Chalamet,Call Me by Your Name,0,,,
2017,2018,90,Best Picture,"Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers",Call Me by Your Name,0,,,
2017,2018,90,Best Actor,Gary Oldman,Darkest Hour,1,,,
2017,2018,90,Best Picture,"Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten and Douglas Urbanski, Producers",Darkest Hour,0,,,
2017,2018,90,Best Director,Christopher Nolan,Dunkirk,0,,,
2017,2018,90,Best Picture,"Emma Thomas and Christopher Nolan, Producers",Dunkirk,0,,,
2017,2018,90,Best Actor,Daniel Kaluuya,Get Out,0,,,
2017,2018,90,Best Director,Jordan Peele,Get Out,0,,,
2017,2018,90,Best Picture,"Sean McKittrick, Jason Blum, Edward H. Hamm Jr. and Jordan Peele, Producers",Get Out,0,,,
2017,2018,90,Best Actress,Margot Robbie,"I, Tonya",0,,,
2017,2018,90,Best Actress,Saoirse Ronan,Lady Bird,0,,,
2017,2018,90,Best Director,Greta Gerwig,Lady Bird,0,,,
2017,2018,90,Best Picture,"Scott Rudin, Eli Bush and Evelyn O'Neill, Producers",Lady Bird,0,,,
2017,2018,90,Best Actor,Daniel Day-Lewis,Phantom Thread,0,,,
2017,2018,90,Best Director,Paul Thomas Anderson,Phantom Thread,0,,,
2017,2018,90,Best Picture,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers",Phantom Thread,0,,,
2017,2018,90,Best Actor,Denzel Washington,"Roman J. Israel, Esq.",0,,,
2017,2018,90,Best Actress,Meryl Streep,The Post,0,,,
2017,2018,90,Best Picture,"Amy Pascal, Steven Spielberg and Kristie Macosko Krieger, Producers",The Post,0,,,
2017,2018,90,Best Actress,Sally Hawkins,The Shape of Water,0,,,
2017,2018,90,Best Director,Guillermo del Toro,The Shape of Water,1,,,
2017,2018,90,Best Picture,"Guillermo del Toro and J. Miles Dale, Producers",The Shape of Water,1,,,
2017,2018,90,Best Actress,Frances McDormand,"Three Billboards outside Ebbing, Missouri",1,,,
2017,2018,90,Best Picture,"Graham Broadbent, Pete Czernin and Martin McDonagh, Producers","Three Billboards outside Ebbing, Missouri",0,,,
2018,2019,91,Best Actor,Bradley Cooper,A Star Is Born,0,,,
2018,2019,91,Best Actress,Lady Gaga,A Star Is Born,0,,,
2018,2019,91,Best Picture,"Bill Gerber, Bradley Cooper and Lynette Howell Taylor, Producers",A Star Is Born,0,,,
2018,2019,91,Best Actor,Willem Dafoe,At Eternity's Gate,0,,,
2018,2019,91,Best Picture,"Kevin Feige, Producer",Black Panther,0,,,
2018,2019,91,Best Director,Spike Lee,BlacKkKlansman,0,,,
2018,2019,91,Best Picture,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele and Spike Lee, Producers",BlacKkKlansman,0,,,
2018,2019,91,Best Actor,Rami Malek,Bohemian Rhapsody,1,,,
2018,2019,91,Best Picture,"Graham King, Producer",Bohemian Rhapsody,0,,,
2018,2019,91,Best Actress,Melissa McCarthy,Can You Ever Forgive Me?,0,,,
2018,2019,91,Best Director,Pawel Pawlikowski,Cold War,0,,,
2018,2019,91,Best Actor,Viggo Mortensen,Green Book,0,,,
2018,2019,91,Best Picture,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly and Nick Vallelonga, Producers",Green Book,1,,,
2018,2019,91,Best Actress,Yalitza Aparicio,Roma,0,,,
2018,2019,91,Best Director,Alfonso CuarÃ³n,Roma,1,,,
2018,2019,91,Best Picture,"Gabriela RodrÃ­guez and Alfonso CuarÃ³n, Producers",Roma,0,,,
2018,2019,91,Best Actress,Olivia Colman,The Favourite,1,,,
2018,2019,91,Best Director,Yorgos Lanthimos,The Favourite,0,,,
2018,2019,91,Best Picture,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers",The Favourite,0,,,
2018,2019,91,Best Actress,Glenn Close,The Wife,0,,,
2018,2019,91,Best Actor,Christian Bale,Vice,0,,,
2018,2019,91,Best Director,Adam McKay,Vice,0,,,
2018,2019,91,Best Picture,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers",Vice,0,,,
2019,2020,92,Best Director,Sam Mendes,1917,0,,,
2019,2020,92,Best Picture,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren and Callum McDougall, Producers",1917,0,,,
2019,2020,92,Best Actress,Charlize Theron,Bombshell,0,,,
2019,2020,92,Best Picture,"Peter Chernin, Jenno Topping and James Mangold, Producers",Ford v Ferrari,0,,,
2019,2020,92,Best Actress,Cynthia Erivo,Harriet,0,,,
2019,2020,92,Best Picture,"Carthew Neal, Taika Waititi and Chelsea Winstanley, Producers",Jojo Rabbit,0,,,
2019,2020,92,Best Actor,Joaquin Phoenix,Joker,1,,,
2019,2020,92,Best Director,Todd Phillips,Joker,0,,,
2019,2020,92,Best Picture,"Todd Phillips, Bradley Cooper and Emma Tillinger Koskoff, Producers",Joker,0,,,
2019,2020,92,Best Actress,RenÃ©e Zellweger,Judy,1,,,
2019,2020,92,Best Actress,Saoirse Ronan,Little Women,0,,,
2019,2020,92,Best Picture,"Amy Pascal, Producer",Little Women,0,,,
